config,latency(ms),power(mWatt)
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.80492275,0.02341003651192571
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.80493075,0.02342639898966434
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.8049267500000001,0.02344276648445002
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.80493075,0.023450947560671943
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.8049347500000001,0.02345912855558465
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.809096,0.02345435419220978
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.8091000000000002,0.023470633745654935
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.8090980000000001,0.023486916122926218
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.8091000000000002,0.02349505581915954
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.809102,0.023503195475152217
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.8132733750000001,0.02349821139771302
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.8132753750000001,0.02351440817344353
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.813274375,0.023530606515413107
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.8132753750000001,0.023538704863445458
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.813276375,0.023546803191562448
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.815364,0.02351997221351772
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.815366,0.023536127406810523
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.8153650000000001,0.02355228424228982
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.815366,0.023560361799307365
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.8153670000000002,0.0235684393365116
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.81745475,0.023541618123723393
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.8174567500000001,0.02355773194508773
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.8174557500000001,0.023573847483776042
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.8174567500000001,0.023581904355031835
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.81745775,0.023589961206575603
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.27178949999999996,0.0233673549357867
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.27179075,0.023383516850210742
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.27179012499999994,0.023399670174044783
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.27179075,0.023407751056945855
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.2717915,0.0234158211334748
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.28015074999999995,0.0234064357742715
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.28015149999999994,0.02342210202485179
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.280151125,0.023437779910490522
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.28015149999999994,0.023445612993824617
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.28015175,0.023453456520805577
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.28851274999999993,0.023443243840239745
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.288513125,0.023458459759462685
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.28851374999999996,0.023637231586125795
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.288514125,0.023644837367129724
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.28851437499999993,0.02365245337587728
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.29269412499999997,0.0234608554244564
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.2926945,0.023475853949541138
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.292695125,0.023652071846007823
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.29269549999999994,0.023659568953705735
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.29269575,0.023667076149559783
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.2968755,0.023477970904158162
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.29687574999999994,0.023492768051208663
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.29687649999999993,0.0236664940688161
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.29687674999999997,0.023673895532856704
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.296877125,0.023681287013430728
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_1-layer,0.2741495,0.025297936489731977
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_3-layer,0.27416274999999996,0.02558613097725698
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_5-layer,0.27417212499999993,0.025874326515933306
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_6-layer,0.27417874999999997,0.02601840142339212
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_7-layer,0.2741855,0.026162457441077164
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_1-layer,0.28721349999999995,0.025969222374191747
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_3-layer,0.28722549999999997,0.026244284933067633
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_5-layer,0.28723550000000003,0.026519348426240062
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_6-layer,0.2872415,0.026656860553651643
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_7-layer,0.28724749999999993,0.026794366936381264
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_1-layer,0.30027875,0.026582089609299194
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_3-layer,0.300290125,0.026845164696411863
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_5-layer,0.451621125,0.021585238795927452
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_6-layer,0.45162712499999996,0.021672764084413328
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_7-layer,0.451633125,0.021760287047331385
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_1-layer,0.30681212499999994,0.026868933960245915
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_3-layer,0.30682349999999997,0.027126396598990837
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_5-layer,0.45162149999999995,0.022688538123322836
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_6-layer,0.4516275,0.022776048681487925
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_7-layer,0.45163349999999997,0.022863556914478524
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_1-layer,0.3133455,0.02714381667963022
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_3-layer,0.31335675,0.02739591226756667
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_5-layer,0.45162175,0.023791842203600866
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_6-layer,0.45162774999999994,0.02387933805562331
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_7-layer,0.45163375,0.023966831582863272
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_1-layer,0.21492912500000005,0.026251162269559952
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_3-layer,0.21503312499999994,0.027076661854145433
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_5-layer,0.338789,0.023490135528291642
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_6-layer,0.33880774999999996,0.023755099466505964
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_7-layer,0.338826375,0.02402004294102481
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_1-layer,0.243243125,0.02793287847263353
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_3-layer,0.33886174999999996,0.024413542280644386
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_5-layer,0.508128125,0.02499916448690716
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_6-layer,0.5081461249999999,0.02517572024040718
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_7-layer,0.508164125,0.02535226348612317
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_1-layer,0.33876787500000005,0.02626233861188346
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_3-layer,0.508200875,0.020457749088301135
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_5-layer,1.016162375,0.01779696251956898
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_6-layer,1.016180375,0.017885377690569408
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_7-layer,1.0161983749999999,0.01797378972936039
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_1-layer,0.33876937500000004,0.028335985555343557
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_3-layer,0.5082013750000001,0.022234053570772433
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_5-layer,1.016162625,0.02559436973515612
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_6-layer,1.016180625,0.025682646765918266
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_7-layer,1.016198625,0.025770920669365514
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_7-wb_1-layer,0.33877099999999993,0.030409602914970083
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_7-wb_3-layer,0.508202,0.024010348652258998
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_7-wb_5-layer,1.016163125,0.027181249728835972
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_7-wb_6-layer,1.016181125,0.027269498607157876
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_7-wb_7-layer,1.016199125,0.02735774435916374
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.008765374999999999,0.02372706513268491
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.008786750000000003,0.024080612474016425
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.008794749999999997,0.0244346033226459
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.008802749999999998,0.024526907164987316
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.00881075,0.02461904338692438
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.009549374999999999,0.024319412637058238
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.009562750000000002,0.024643979383329677
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.009578749999999997,0.025275107885834796
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.009586749999999998,0.025359161773926713
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.009594749999999999,0.025443075495551633
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.01033075,0.024822224923072563
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.010346750000000002,0.025406231515938425
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.010362749999999997,0.026415321089000503
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.010370749999999998,0.02649214117491908
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.010378749999999999,0.026568842834112386
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.010722750000000003,0.024977193139524078
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.010738749999999998,0.025539650662352323
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.01075475,0.026511761428935132
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.010762750000000001,0.026585711895434894
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.010770750000000003,0.0266595525081674
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.01111475,0.025121230378517923
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.011130750000000002,0.025663672363779248
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.011146749999999997,0.026601418695192763
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.011154749999999998,0.026672706095196397
width_14-height_14-cin_192-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.011162749999999999,0.02674389131622081
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_1-wb_1-layer,0.084880125,0.02494608865556464
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_1-wb_3-layer,0.16954412500000002,0.026997672794098544
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_1-wb_5-layer,0.25416525,0.026470824833589007
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_1-wb_6-layer,0.25418925000000003,0.026896606740090596
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_1-wb_7-layer,0.25421325000000006,0.027322308251366875
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_3-wb_1-layer,0.12717475,0.028032055894096086
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_3-wb_3-layer,0.25421875000000005,0.02497874474709472
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_3-wb_5-layer,0.5081435000000001,0.023317635704493075
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_3-wb_6-layer,0.5081555,0.02353131964896434
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_3-wb_7-layer,0.50816275,0.027489328201971898
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_5-wb_1-layer,0.25408137500000005,0.02952200126568212
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_5-wb_3-layer,0.50810275,0.027304013045575774
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_5-wb_5-layer,1.01612225,0.020065381784691357
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_5-wb_6-layer,1.01612525,0.022351214209388143
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_5-wb_7-layer,1.01612825,0.02463703313677832
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_6-wb_1-layer,0.2541415,0.027051454918227583
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_6-wb_3-layer,0.50815275,0.024616832499807128
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_6-wb_5-layer,1.0161235,0.02116870136099228
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_6-wb_6-layer,1.0161265,0.02345452771631753
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_6-wb_7-layer,1.0161295000000001,0.025740340574388596
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_7-wb_1-layer,0.25414275,0.02888463706134767
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_7-wb_3-layer,0.508157375,0.026822881715104514
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_7-wb_5-layer,1.016124625,0.022272020962588995
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_7-wb_6-layer,1.016127625,0.024557841529750126
width_14-height_14-cin_384-cout_384-kernel_3-stride_1-pad_SAME-group_384-fb_7-wb_7-layer,1.016130625,0.02684364859970621
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.009168125,0.0242048135636824
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.009194750000000002,0.02472021856596335
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.009226750000000006,0.025550921442804835
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.009242750000000008,0.02572480845764553
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.009258749999999996,0.025898094485908765
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.010730749999999997,0.025052508185502788
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.010762750000000001,0.02576366978463604
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.010794750000000006,0.026880417666143224
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.010810750000000008,0.027027116301006248
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.010826749999999996,0.027173381347182474
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.012298749999999997,0.025923277530381834
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.012330750000000001,0.026900501685119853
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.01891675000000001,0.023494081822384903
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.018932749999999998,0.023580709683648896
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.018948750000000014,0.02366719125074781
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.013082750000000004,0.026111322524116402
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.013114750000000008,0.027029669370700275
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.018912750000000006,0.019892096164460474
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.018928749999999994,0.019981787000404348
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.01894475000000001,0.020071326337555644
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.013866750000000011,0.026278104096344394
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.013898750000000015,0.02714426488748925
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.018913750000000007,0.021095670449276283
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.018929749999999995,0.021184339249567682
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.01894575000000001,0.02127285828531505
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.01336000000000001,0.024234205984268224
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.013399999999999995,0.024764492679746876
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.013448000000000015,0.02561925967081495
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.013472000000000012,0.025798086214175734
